INTERNAL_CODE	KEYWORD	LABEL	CODELIST_ID	TERM_ID	KEYWORD_TYPE	TERM_NAME	SYNONYM_TYPE	SOURCE
82	intracavitary	ROUTE	C66729	C38231	PRIMARY	 	 	 
83	intracerebral	ROUTE	C66729	C38232	PRIMARY	 	 	 
84	intracisternal	ROUTE	C66729	C38233	PRIMARY	 	 	 
85	intracorneal	ROUTE	C66729	C38234	PRIMARY	 	 	 
86	intracorporus cavernosum	ROUTE	C66729	C38235	PRIMARY	 	 	 
87	intradermal	ROUTE	C66729	C38238	PRIMARY	 	 	 
88	intradiscal	ROUTE	C66729	C38239	PRIMARY	 	 	 
89	intraductal	ROUTE	C66729	C38240	PRIMARY	 	 	 
90	intraduodenal	ROUTE	C66729	C38241	PRIMARY	 	 	 
91	intradural	ROUTE	C66729	C38242	PRIMARY	 	 	 
92	intraepidermal	ROUTE	C66729	C38243	PRIMARY	 	 	 
93	intraesophageal	ROUTE	C66729	C38245	PRIMARY	 	 	 
94	esophageal intubation	ROUTE	C66729	C38245	SYNONYM	INTRAESOPHAGEAL	EXACT	VX
95	intragastric	ROUTE	C66729	C38246	PRIMARY	 	 	 
96	intragingival	ROUTE	C66729	C38247	PRIMARY	 	 	 
97	intrahepatic	ROUTE	C66729	C38248	PRIMARY	 	 	 
98	intraileal	ROUTE	C66729	C38249	PRIMARY	 	 	 
99	intraileum	ROUTE	C66729	C38249	SYNONYM	INTRAILEAL	RELATED	VX
100	intralesional	ROUTE	C66729	C38250	PRIMARY	 	 	 
101	intraluminal	ROUTE	C66729	C38251	PRIMARY	 	 	 
102	intralymphatic	ROUTE	C66729	C38252	PRIMARY	 	 	 
103	intramedullary	ROUTE	C66729	C38253	PRIMARY	 	 	 
104	intrameningeal	ROUTE	C66729	C38254	PRIMARY	 	 	 
105	intraocular	ROUTE	C66729	C38255	PRIMARY	 	 	 
106	instillation into the conjuctival sac	ROUTE	C66729	C38255	SYNONYM	INTRAOCULAR	NARROW	VX
107	ocular	ROUTE	C66729	C38255	SYNONYM	INTRAOCULAR	RELATED	VX
108	intraovarian	ROUTE	C66729	C38256	PRIMARY	 	 	 
109	intrapericardial	ROUTE	C66729	C38257	PRIMARY	 	 	 
110	intraperitoneal	ROUTE	C66729	C38258	PRIMARY	 	 	 
111	intraperitoneal injection	ROUTE	C66729	C38258	SYNONYM	INTRAPERITONEAL	EXACT	VX
112	intrapleural	ROUTE	C66729	C38259	PRIMARY	 	 	 
113	intraprostatic	ROUTE	C66729	C38260	PRIMARY	 	 	 
114	intrapulmonary	ROUTE	C66729	C38261	PRIMARY	 	 	 
115	intrasinal	ROUTE	C66729	C38262	PRIMARY	 	 	 
116	intraspinal	ROUTE	C66729	C38263	PRIMARY	 	 	 
117	intrasynovial	ROUTE	C66729	C38264	PRIMARY	 	 	 
118	intratendinous	ROUTE	C66729	C38265	PRIMARY	 	 	 
119	intratesticular	ROUTE	C66729	C38266	PRIMARY	 	 	 
120	intrathecal	ROUTE	C66729	C38267	PRIMARY	 	 	 
121	intratubular	ROUTE	C66729	C38268	PRIMARY	 	 	 
122	intratumor	ROUTE	C66729	C38269	PRIMARY	 	 	 
123	intratympanic	ROUTE	C66729	C38270	PRIMARY	 	 	 
124	urethral	ROUTE	C66729	C38271	PRIMARY	 	 	 
125	intrauterine	ROUTE	C66729	C38272	PRIMARY	 	 	 
126	intravascular	ROUTE	C66729	C38273	PRIMARY	 	 	 
127	intravenous bolus	ROUTE	C66729	C38274	PRIMARY	 	 	 
128	bolus intravenous	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	EXACT	VX
129	bolus intravenous injection	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	RELATED	VX
130	intravenous (bolus injection into the jugular vein)	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	NARROW	VX
131	intravenous (bolus injection into the tail vein)	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	NARROW	VX
132	intravenous (bolus)	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	EXACT	VX
133	intravenous bolus (0.2 ml/100 g body weight)	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	RELATED	VX
134	intravenous bolus injection	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	EXACT	VX
135	intravenous single bolus injection	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	RELATED	VX
136	intravenous, bolus	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	EXACT	VX
137	intravenous, bolus injection	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	EXACT	VX
138	intravenous, by slow bolus	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	NARROW	VX
139	intravenous, by slow bolus injection	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	NARROW	VX
140	intravenous/bolus	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	EXACT	VX
141	intravenously (bolus - tail vein)	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	NARROW	VX
142	slow intravenous bolus	ROUTE	C66729	C38274	SYNONYM	INTRAVENOUS BOLUS	NARROW	VX
143	intravenous	ROUTE	C66729	C38276	PRIMARY	 	 	 
144	intavenous	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	EXACT	VX
145	intravenos injection	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
146	intravenous (tail vein)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
147	intravenous (injection in the tail vein)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
148	intravenous (jugular)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
149	intravenous (jugularis)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
150	intravenous (or exceptionally subcutaneously)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
151	intravenous (tail vein - 0.1 ml/100 g b.w.)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
152	intravenous (via an implanted port catheter system)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
153	intravenous injection	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
154	intravenous at days 14 and 28 only	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
155	intravenous in the tail vein	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
156	intravenous injection (tail vein)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
157	intravenous injection (tail)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
158	intravenous injections	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
159	intravenous into right ear	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
160	intravenous via a tail vein	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
161	intravenous via the tail vein	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
162	intravenous(via the tail)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
163	intravenous, liposomal formulation	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
164	intravenous, via the tail vein	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
165	intravenous/perivenous/intraarterial	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
166	intravenously	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	EXACT	VX
167	intravenously (0.1 ml/100 g bw)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
168	intravenously (jugular vein)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
169	intravenously (tail vein)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
170	intravenously (via jugular vein)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
171	intravenously (via the tail)	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
172	intravenously via the tail vein	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
173	intravenously, i.p. when i.v. no longer possible	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
174	intravenously, via the tail vein	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	NARROW	VX
175	intraveous	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
176	introvenous	ROUTE	C66729	C38276	SYNONYM	INTRAVENOUS	RELATED	VX
177	intraventricular	ROUTE	C66729	C38277	PRIMARY	 	 	 
178	intravesical	ROUTE	C66729	C38278	PRIMARY	 	 	 
179	intravenous drip	ROUTE	C66729	C38279	PRIMARY	 	 	 
180	continuous intravenous infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
181	intravenour 4h infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
182	intravenous (1-hour infusion)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
183	intravenous (2 h) infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
184	intravenous (30 min) infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
185	intravenous (4-hour per day) infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
186	intravenous (5 min-duration)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
187	intravenous (continuous infusion)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
188	intravenous (infusion)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
189	intravenous 1-h infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
190	intravenous 1-h-infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
191	intravenous 1-hour infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
192	intravenous 1.5 min	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
193	intravenous 10-min infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
194	intravenous 15-min infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
195	intravenous 16-min infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
196	intravenous 18-min infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
197	intravenous 1h infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
198	intravenous 1h-infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
199	intravenous 2-h infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
200	intravenous 2-min	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
201	intravenous 2-min infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
202	intravenous 20-min	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
203	intravenous 24-h	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
204	intravenous 24-h infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
205	intravenous 2h-infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
206	intravenous 3-h infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
207	intravenous 3-min infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
208	intravenous 30-min infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
209	intravenous 3h-infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
210	intravenous 4 h infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
211	intravenous 4-h infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
212	intravenous 5 days/week	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
213	intravenous 5-min infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
214	intravenous 6-h infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
215	intravenous 60-min	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
216	intravenous 8h-infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
217	intravenous infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
218	intravenous infusion for 1 hour	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
219	intravenous continuous	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
220	intravenous continuous for 24 h	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
221	intravenous continuous infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
222	intravenous infused for 20 min	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
223	intravenous infusion (1 hour period)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
224	intravenous infusion (1-h)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
225	intravenous infusion (1.7 ¿ 6.7 ml/kg/hour)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
226	intravenous infusion (1.7-6.7 ml/kg/hour)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
227	intravenous infusion (1h)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
228	intravenous infusion (30 minutes   cephalic or saphenous vein)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
229	intravenous infusion (30 minutes - cephalic or saphenous vein)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
230	intravenous infusion (caudal vein - 10ml/kg - 5 min)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
231	intravenous infusion (caudal vein)	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
232	intravenous infusion for 1 h	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
233	intravenous infusion for 2 h	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
234	intravenous infusion over 0.5 h	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
235	intravenous infusion via a tail vein at 0.5 ml/min	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
236	intravenous infusion via the femoral vein	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
237	intravenous infusion via the left femoral vein	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
238	intravenous over 5 min	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
239	intravenous, 1 hour infusion once a day	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
240	intravenous, 1-min	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
241	intravenous, 10-min	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
242	intravenous, 14-min infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
243	intravenous, 5-min	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
244	intravenous, slow	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
245	intravenous: 15 min infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	RELATED	VX
246	intravenously, bolus followed by an infusion	ROUTE	C66729	C38279	SYNONYM	INTRAVENOUS DRIP	NARROW	VX
247	intravitreal	ROUTE	C66729	C38280	PRIMARY	 	 	 
248	irrigation	ROUTE	C66729	C38281	PRIMARY	 	 	 
249	laryngeal	ROUTE	C66729	C38282	PRIMARY	 	 	 
250	transmucosal	ROUTE	C66729	C38283	PRIMARY	 	 	 
251	nasal	ROUTE	C66729	C38284	PRIMARY	 	 	 
252	intranasal	ROUTE	C66729	C38284	SYNONYM	NASAL	RELATED	VX
253	intranasal (spray)	ROUTE	C66729	C38284	SYNONYM	NASAL	EXACT	VX
254	intranasal instillation	ROUTE	C66729	C38284	SYNONYM	NASAL	EXACT	VX
255	intranasal spray	ROUTE	C66729	C38284	SYNONYM	NASAL	EXACT	VX
256	intranasally	ROUTE	C66729	C38284	SYNONYM	NASAL	EXACT	VX
257	nasogastric	ROUTE	C66729	C38285	PRIMARY	 	 	 
258	oral, by naso-gastric intubation	ROUTE	C66729	C38285	SYNONYM	NASOGASTRIC	EXACT	VX
259	occlusive dressing technique	ROUTE	C66729	C38286	PRIMARY	 	 	 
260	ophthalmic	ROUTE	C66729	C38287	PRIMARY	 	 	 
261	oral	ROUTE	C66729	C38288	PRIMARY	 	 	 
262	ora in capsule	ROUTE	C66729	C38288	SYNONYM	ORAL	RELATED	VX
263	oral (capsule)	ROUTE	C66729	C38288	SYNONYM	ORAL	RELATED	VX
264	oral (gelatin capsule)	ROUTE	C66729	C38288	SYNONYM	ORAL	RELATED	VX
265	oral (capsules)	ROUTE	C66729	C38288	SYNONYM	ORAL	NARROW	VX
266	oral (gelatin capsules)	ROUTE	C66729	C38288	SYNONYM	ORAL	RELATED	VX
267	oral (gelatine capsules)	ROUTE	C66729	C38288	SYNONYM	ORAL	NARROW	VX
268	oral (in gelatin capsules)	ROUTE	C66729	C38288	SYNONYM	ORAL	NARROW	VX
269	oral (individual amounts in gelatin capsules)	ROUTE	C66729	C38288	SYNONYM	ORAL	EXACT	VX
270	oral (tablet)	ROUTE	C66729	C38288	SYNONYM	ORAL	NARROW	VX
271	oral (tablets)	ROUTE	C66729	C38288	SYNONYM	ORAL	NARROW	VX
272	oral (via gelatin capsules)	ROUTE	C66729	C38288	SYNONYM	ORAL	RELATED	VX
273	oral - liquid filled gelatin capsule	ROUTE	C66729	C38288	SYNONYM	ORAL	NARROW	VX
274	oral administration	ROUTE	C66729	C38288	SYNONYM	ORAL	EXACT	VX
275	oral by capsula	ROUTE	C66729	C38288	SYNONYM	ORAL	RELATED	VX
276	oral by capsule	ROUTE	C66729	C38288	SYNONYM	ORAL	NARROW	VX
277	oral by gelatin capsules	ROUTE	C66729	C38288	SYNONYM	ORAL	NARROW	VX
278	oral capsule	ROUTE	C66729	C38288	SYNONYM	ORAL	RELATED	VX
279	oral capsule/gavage	ROUTE	C66729	C38288	SYNONYM	ORAL	NARROW	VX
280	oral gavage zd7054, oral, via drinking water zd1033	ROUTE	C66729	C38288	SYNONYM	ORAL	RELATED	VX
281	oral in  capsules	ROUTE	C66729	C38288	SYNONYM	ORAL	RELATED	VX
282	oral in capsule	ROUTE	C66729	C38288	SYNONYM	ORAL	RELATED	VX
283	oral in capsules	ROUTE	C66729	C38288	SYNONYM	ORAL	RELATED	VX
284	oral in gelatin capsules	ROUTE	C66729	C38288	SYNONYM	ORAL	NARROW	VX
