INTERNAL_CODE	KEYWORD	LABEL	TERM_ID	KEYWORD_TYPE	SYNONYM_DAT	IS_A	IS_PART_OF	SEND_DOMAIN_CODE	SEND_DOMAIN_DESC
46	enlarged abdomen, sporadic	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
47	enlarged abdomen	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
48	abdominal tension	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
49	mildly distended abdomen	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
50	tense abdomen	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
51	distended; abdomen	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	EXACT [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
52	animals became 'pot bellied' which was first noticed on day	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
53	firm and irregularly shaped abdomen	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
54	animals appeared 'pot bellied'	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
55	abdomen distended; moderate	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
56	distended abdomen hard	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
57	abdomen distended; mild	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
58	distended stomach	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
59	abdomen distended/dark	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
60	abdomen - distended	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
61	abdomen firm/solid	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
62	breathing	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000007	NAME	 	ILO:0000001	 	RE	RESPIRATORY_FINDINGS_DOMAIN
63	abdominal breathing	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	NAME	 	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
64	abdominal breathing 1-2 h. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
65	abdominal breathing 1.5 h. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
66	abdominal breathing 15 min. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
67	abdominal breathing 17-25 after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
68	abdominal breathing 17-25 min.after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
69	abdominal breathing 20-25 min. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
70	abdominal breathing 2 h. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
71	abdominal breathing 35-40 min. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
72	abdominal breathing 40-45 min. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
73	abdominal breathing 40-50 after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
74	abdominal breathing 40-60 min. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
75	abdominal breathing 40 min. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
76	abdominal breathing 4.5-5.5 h. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
77	abdominal breathing 4 h. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
78	abdominal breathing 45 min. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
79	abdominal breathing 6.5 h. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
80	abdominal breathing 5 h. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
81	abdominal breathing 7.5 h. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
82	abdominal breathing 6-7 h. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
83	abdominal breathing, during dosing	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
84	abdominal breathing during dosing	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
85	abdominal breathing, immediately after dosing	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
86	abdominal breathing immediately after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
87	abdominal, irregular respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
88	abdominal respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
89	abdominal respiration 3 hours after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
90	abdominal respiration within 0.5 h. of dosing	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
91	abdominal respiration 1h. after dose	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
92	abdominal respiration 2h. after dosing	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
93	respiration abdominal	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000008	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
94	general behaviour	BEHAVIORAL_DOMAIN	ILO:0000009	NAME	 	ILO:0000001	 	BH	BEHAVIORAL_DOMAIN
95	abnormal behaviour	BEHAVIORAL_DOMAIN	ILO:0000010	NAME	 	ILO:0000009	 	BH	BEHAVIORAL_DOMAIN
96	change of behaviour	BEHAVIORAL_DOMAIN	ILO:0000010	SYNONYM	RELATED [VX]	ILO:0000009	 	BH	BEHAVIORAL_DOMAIN
97	altered abnormal behaviour	BEHAVIORAL_DOMAIN	ILO:0000010	SYNONYM	RELATED [VX]	ILO:0000009	 	BH	BEHAVIORAL_DOMAIN
98	abnormal rearing against cage	BEHAVIORAL_DOMAIN	ILO:0000010	SYNONYM	RELATED [VX]	ILO:0000009	 	BH	BEHAVIORAL_DOMAIN
99	abnormal breathing	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	NAME	 	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
100	increased ventilation	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
101	iirregular respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
102	altered respiration (increased/decreased rate and depth)	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
103	altered respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
104	altered respiration (irregular, increased rate and decreased depth)	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
105	altered respiration (irregular, increased/decreased rate and depth)	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
106	altered respiration (increased rate and decreased depth)	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
107	abnormal breath	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
108	respiratory sounds abnormal	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
109	abnormal breathing (until the end of working day)	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
110	abnormal breathing (until 24h post-dosing)	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
111	altered breathing	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
112	affected respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
113	adverse respiratory effects	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
114	affected respiration (increased rate and depth)	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
115	deep respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
116	deep irregular respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
117	respiration-irregular	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
118	deep/slow respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
119	forced and heavy breathing	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
120	deep abdominal/deep respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
121	adversely affected respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
122	respiration -irregular	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
123	respiration irregular	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
124	deep/irregular breathing	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
125	deep breathing pattern	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
126	respiration; irregular	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
127	respiratory  changes	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
128	respiration  irregular	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
129	respiration, irregular	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
130	respiration abnormal	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
131	respiration adversely affected	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
132	respiration/breathing irregular	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
133	transient irregular respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
134	respiration changes	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
135	respiration decreased	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
136	decrease/ increase in breathing rate	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
137	decreased respiration depth and rate	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
138	decreased respiration	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
139	respiratory clinical signs	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
140	respiration unspecified	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
141	decreased respiration slight to moderate	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
142	respiratory changes	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
143	decreased respiration rate and depth	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
144	decreased respiration rate/gasping	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
145	changes in respirator (decreased)	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
146	respiration symptoms	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
147	changes in respiratory rate and depth	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
148	respiration unspecific	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
149	changes in respiratory pattern and depth	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
150	decreased respiratory frequency immediately after injection	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
151	decreased respiratory frequency	RESPIRATORY_FINDINGS_DOMAIN	ILO:0000011	SYNONYM	RELATED [VX]	ILO:0000007	 	RE	RESPIRATORY_FINDINGS_DOMAIN
