INTERNAL_CODE	KEYWORD	LABEL	SUB_LABEL	OID	EXT_CODE_ID	KEYWORD_TYPE
24	Acetabulum	LOC_ACETABULUM_ANATOMICAL LOCATION	ACETABULUM	LOC	C32042	PRIMARY
25	Achilles Tendon	LOC_ACHILLES TENDON_ANATOMICAL LOCATION	ACHILLES_TENDON	LOC	C32043	PRIMARY
26	Acromioclavicular Joint	LOC_ACROMIOCLAVICULAR JOINT_ANATOMICAL LOCATION	ACROMIOCLAVICULAR_JOINT	LOC	C32047	SYNONYM
27	Acromioclavicular Joint	LOC_ACROMIOCLAVICULAR JOINT_ANATOMICAL LOCATION	ACROMIOCLAVICULAR_JOINT	LOC	C32047	PRIMARY
28	Acromion	LOC_ACROMION_ANATOMICAL LOCATION	ACROMION	LOC	C32048	SYNONYM
29	Acromion	LOC_ACROMION_ANATOMICAL LOCATION	ACROMION	LOC	C32048	PRIMARY
30	ACUTE MARGINAL ARTERY SEGMENT(S)	LOC_ACUTE MARGINAL ARTERY_ANATOMICAL LOCATION	ACUTE_MARGINAL_ARTERY	LOC	C102285	SYNONYM
31	AMARG	LOC_ACUTE MARGINAL ARTERY_ANATOMICAL LOCATION	ACUTE_MARGINAL_ARTERY	LOC	C102285	SYNONYM
32	Acute Marginal Artery	LOC_ACUTE MARGINAL ARTERY_ANATOMICAL LOCATION	ACUTE_MARGINAL_ARTERY	LOC	C102285	PRIMARY
33	Abductor Pollicis Longus	LOC_ADDUCTOR POLLICIS MUSCLE_ANATOMICAL LOCATION	ADDUCTOR_POLLICIS_MUSCLE	LOC	C52888	PRIMARY
34	Adrenal Gland	LOC_ADRENAL GLAND_ANATOMICAL LOCATION	ADRENAL_GLAND	LOC	C12666	PRIMARY
35	Alveoli	LOC_ALVEOLUS_ANATOMICAL LOCATION	ALVEOLUS	LOC	C12986	SYNONYM
36	Alveolus	LOC_ALVEOLUS_ANATOMICAL LOCATION	ALVEOLUS	LOC	C12986	PRIMARY
37	Amygdala	LOC_AMYGDALA_ANATOMICAL LOCATION	AMYGDALA	LOC	C12440	SYNONYM
38	Amygdaloid Body	LOC_AMYGDALA_ANATOMICAL LOCATION	AMYGDALA	LOC	C12440	SYNONYM
39	Amygdaloid Nucleus	LOC_AMYGDALA_ANATOMICAL LOCATION	AMYGDALA	LOC	C12440	SYNONYM
40	Amygdala	LOC_AMYGDALA_ANATOMICAL LOCATION	AMYGDALA	LOC	C12440	PRIMARY
41	Anal Canal	LOC_ANAL CANAL_ANATOMICAL LOCATION	ANAL_CANAL	LOC	C12375	PRIMARY
42	Anastomosis	LOC_ANASTOMOSIS_ANATOMICAL LOCATION	ANASTOMOSIS	LOC	C15609	SYNONYM
43	Anastomosis	LOC_ANASTOMOSIS_ANATOMICAL LOCATION	ANASTOMOSIS	LOC	C15609	PRIMARY
44	Ankle	LOC_ANKLE JOINT_ANATOMICAL LOCATION	ANKLE_JOINT	LOC	C32078	SYNONYM
45	Ankle Joint	LOC_ANKLE JOINT_ANATOMICAL LOCATION	ANKLE_JOINT	LOC	C32078	SYNONYM
46	Ankle Joint	LOC_ANKLE JOINT_ANATOMICAL LOCATION	ANKLE_JOINT	LOC	C32078	PRIMARY
47	Talar Mortise	LOC_ANKLE MORTISE_ANATOMICAL LOCATION	ANKLE_MORTISE	LOC	C117868	SYNONYM
48	Ankle Mortise	LOC_ANKLE MORTISE_ANATOMICAL LOCATION	ANKLE_MORTISE	LOC	C117868	PRIMARY
49	Anterior Cingulate Cortex	LOC_ANTERIOR CINGULATE CORTEX_ANATOMICAL LOCATION	ANTERIOR_CINGULATE_CORTEX	LOC	C139185	PRIMARY
50	Cingulate Gyrus	LOC_ANTERIOR CINGULATE GYRUS_ANATOMICAL LOCATION	ANTERIOR_CINGULATE_GYRUS	LOC	C96217	PRIMARY
51	Frontal Horn of the Lateral Ventricle	LOC_ANTERIOR HORN OF THE LATERAL VENTRICLE_ANATOMICAL LOCATION	ANTERIOR_HORN_OF_THE_LATERAL_VENTRICLE	LOC	C32637	SYNONYM
52	Frontal Horn of the Lateral Ventricle	LOC_ANTERIOR HORN OF THE LATERAL VENTRICLE_ANATOMICAL LOCATION	ANTERIOR_HORN_OF_THE_LATERAL_VENTRICLE	LOC	C32637	PRIMARY
53	Anterior Superior Iliac Spine	LOC_ANTERIOR SUPERIOR ILIAC SPINE_ANATOMICAL LOCATION	ANTERIOR_SUPERIOR_ILIAC_SPINE	LOC	C139187	PRIMARY
54	Anterior Tibial Artery	LOC_ANTERIOR TIBIAL ARTERY_ANATOMICAL LOCATION	ANTERIOR_TIBIAL_ARTERY	LOC	C12825	PRIMARY
55	Anterior Tibial Vein	LOC_ANTERIOR TIBIAL VEIN_ANATOMICAL LOCATION	ANTERIOR_TIBIAL_VEIN	LOC	C32115	PRIMARY
56	Antrum Pylori	LOC_ANTRUM PYLORI_ANATOMICAL LOCATION	ANTRUM_PYLORI	LOC	C12259	SYNONYM
57	Antrum Pylori	LOC_ANTRUM PYLORI_ANATOMICAL LOCATION	ANTRUM_PYLORI	LOC	C12259	PRIMARY
58	Anus	LOC_ANUS_ANATOMICAL LOCATION	ANUS	LOC	C43362	PRIMARY
59	Aorta	LOC_AORTA_ANATOMICAL LOCATION	AORTA	LOC	C12669	PRIMARY
60	Aortic Arch	LOC_AORTIC ARCH_ANATOMICAL LOCATION	AORTIC_ARCH	LOC	C32123	SYNONYM
61	Aortic Arch	LOC_AORTIC ARCH_ANATOMICAL LOCATION	AORTIC_ARCH	LOC	C32123	PRIMARY
62	Aortic Valve	LOC_AORTIC VALVE_ANATOMICAL LOCATION	AORTIC_VALVE	LOC	C12670	PRIMARY
63	Aortic Valve Annulus	LOC_AORTIC VALVE ANNULUS_ANATOMICAL LOCATION	AORTIC_VALVE_ANNULUS	LOC	C130167	PRIMARY
64	Aortic Valve, Left Semilunar Cusp	LOC_AORTIC VALVE, LEFT CORONARY CUSP_ANATOMICAL LOCATION	AORTIC_VALVE,_LEFT_CORONARY_CUSP	LOC	C127638	SYNONYM
65	Left Coronary Cusp of the Aortic Valve	LOC_AORTIC VALVE, LEFT CORONARY CUSP_ANATOMICAL LOCATION	AORTIC_VALVE,_LEFT_CORONARY_CUSP	LOC	C127638	PRIMARY
66	Aortic Valve, Posterior Semilunar Cusp	LOC_AORTIC VALVE, NON-CORONARY CUSP_ANATOMICAL LOCATION	AORTIC_VALVE,_NON-CORONARY_CUSP	LOC	C127639	SYNONYM
67	Non-Coronary Cusp of the Aortic Valve	LOC_AORTIC VALVE, NON-CORONARY CUSP_ANATOMICAL LOCATION	AORTIC_VALVE,_NON-CORONARY_CUSP	LOC	C127639	PRIMARY
68	Aortic Valve, Right Semilunar Cusp	LOC_AORTIC VALVE, RIGHT CORONARY CUSP_ANATOMICAL LOCATION	AORTIC_VALVE,_RIGHT_CORONARY_CUSP	LOC	C127640	SYNONYM
69	Right Coronary Cusp of the Aortic Valve	LOC_AORTIC VALVE, RIGHT CORONARY CUSP_ANATOMICAL LOCATION	AORTIC_VALVE,_RIGHT_CORONARY_CUSP	LOC	C127640	PRIMARY
70	Aortoiliac Artery Segment	LOC_AORTO-ILIAC PERIPHERAL ARTERY_ANATOMICAL LOCATION	AORTO-ILIAC_PERIPHERAL_ARTERY	LOC	C116166	PRIMARY
71	Aortocaval Lymph Node	LOC_AORTOCAVAL LYMPH NODE_ANATOMICAL LOCATION	AORTOCAVAL_LYMPH_NODE	LOC	C118775	PRIMARY
72	Aortopulmonary Window Lymph Node	LOC_AORTOPULMONARY WINDOW LYMPH NODE_ANATOMICAL LOCATION	AORTOPULMONARY_WINDOW_LYMPH_NODE	LOC	C116165	PRIMARY
73	Appendiceal Tip	LOC_APPENDICEAL TIP_ANATOMICAL LOCATION	APPENDICEAL_TIP	LOC	C83470	PRIMARY
74	Appendicular Skeleton	LOC_APPENDICULAR SKELETON_ANATOMICAL LOCATION	APPENDICULAR_SKELETON	LOC	C49477	PRIMARY
75	Appendix	LOC_APPENDIX_ANATOMICAL LOCATION	APPENDIX	LOC	C12380	PRIMARY
76	Arm	LOC_ARM_ANATOMICAL LOCATION	ARM	LOC	C32141	SYNONYM
77	Brachium	LOC_ARM_ANATOMICAL LOCATION	ARM	LOC	C32141	SYNONYM
78	Upper Arm	LOC_ARM_ANATOMICAL LOCATION	ARM	LOC	C32141	SYNONYM
79	Arm	LOC_ARM_ANATOMICAL LOCATION	ARM	LOC	C32141	PRIMARY
80	Arm Skin	LOC_ARM SKIN_ANATOMICAL LOCATION	ARM_SKIN	LOC	C52754	SYNONYM
81	Arm Skin	LOC_ARM SKIN_ANATOMICAL LOCATION	ARM_SKIN	LOC	C52754	PRIMARY
82	Artery	LOC_ARTERY_ANATOMICAL LOCATION	ARTERY	LOC	C12372	SYNONYM
83	Artery	LOC_ARTERY_ANATOMICAL LOCATION	ARTERY	LOC	C12372	PRIMARY
84	Ascending Aorta	LOC_ASCENDING AORTA_ANATOMICAL LOCATION	ASCENDING_AORTA	LOC	C32150	PRIMARY
85	Aortic Root	LOC_ASCENDING AORTA, AORTIC ROOT_ANATOMICAL LOCATION	ASCENDING_AORTA,_AORTIC_ROOT	LOC	C127641	PRIMARY
86	Sinotubular Junction	LOC_ASCENDING AORTA, SINOTUBULAR JUNCTION_ANATOMICAL LOCATION	ASCENDING_AORTA,_SINOTUBULAR_JUNCTION	LOC	C127642	PRIMARY
87	Sinus of Valsalva	LOC_ASCENDING AORTA, SINUS OF VALSALVA_ANATOMICAL LOCATION	ASCENDING_AORTA,_SINUS_OF_VALSALVA	LOC	C33557	PRIMARY
88	Axial Skeleton	LOC_AXIAL SKELETON_ANATOMICAL LOCATION	AXIAL_SKELETON	LOC	C32172	PRIMARY
89	Axilla	LOC_AXILLA_ANATOMICAL LOCATION	AXILLA	LOC	C12674	SYNONYM
90	Axilla	LOC_AXILLA_ANATOMICAL LOCATION	AXILLA	LOC	C12674	PRIMARY
91	Axillary Artery	LOC_AXILLARY ARTERY_ANATOMICAL LOCATION	AXILLARY_ARTERY	LOC	C32169	PRIMARY
92	Axillary Lymph Node	LOC_AXILLARY LYMPH NODE_ANATOMICAL LOCATION	AXILLARY_LYMPH_NODE	LOC	C12904	PRIMARY
93	Axillary Lymph Node Level I	LOC_AXILLARY LYMPH NODE LEVEL I_ANATOMICAL LOCATION	AXILLARY_LYMPH_NODE_LEVEL_I	LOC	C123461	PRIMARY
94	Axillary Lymph Node Level II	LOC_AXILLARY LYMPH NODE LEVEL II_ANATOMICAL LOCATION	AXILLARY_LYMPH_NODE_LEVEL_II	LOC	C123462	PRIMARY
95	Axillary Lymph Node Level III	LOC_AXILLARY LYMPH NODE LEVEL III_ANATOMICAL LOCATION	AXILLARY_LYMPH_NODE_LEVEL_III	LOC	C123463	PRIMARY
96	Axillary Vein	LOC_AXILLARY VEIN_ANATOMICAL LOCATION	AXILLARY_VEIN	LOC	C32171	PRIMARY
97	Back	LOC_BACK_ANATOMICAL LOCATION	BACK	LOC	C13062	SYNONYM
98	Back	LOC_BACK_ANATOMICAL LOCATION	BACK	LOC	C13062	PRIMARY
99	Basal Ganglia	LOC_BASAL GANGLIA_ANATOMICAL LOCATION	BASAL_GANGLIA	LOC	C12447	PRIMARY
100	Basilic Vein	LOC_BASILIC VEIN_ANATOMICAL LOCATION	BASILIC_VEIN	LOC	C32197	SYNONYM
101	Basilic Vein	LOC_BASILIC VEIN_ANATOMICAL LOCATION	BASILIC_VEIN	LOC	C32197	PRIMARY
102	Biceps	LOC_BICEPS BRACHII MUSCLE_ANATOMICAL LOCATION	BICEPS_BRACHII_MUSCLE	LOC	C32200	PRIMARY
103	Biceps Femoris	LOC_BICEPS FEMORIS MUSCLE_ANATOMICAL LOCATION	BICEPS_FEMORIS_MUSCLE	LOC	C53147	PRIMARY
104	Bile Duct	LOC_BILE DUCT_ANATOMICAL LOCATION	BILE_DUCT	LOC	C12376	PRIMARY
105	Biliary Tract	LOC_BILIARY TRACT_ANATOMICAL LOCATION	BILIARY_TRACT	LOC	C12678	SYNONYM
106	Biliary Tract	LOC_BILIARY TRACT_ANATOMICAL LOCATION	BILIARY_TRACT	LOC	C12678	PRIMARY
107	Bladder	LOC_BLADDER_ANATOMICAL LOCATION	BLADDER	LOC	C12414	PRIMARY
108	Bladder Wall	LOC_BLADDER WALL_ANATOMICAL LOCATION	BLADDER_WALL	LOC	C48941	PRIMARY
109	Dome of the Bladder	LOC_BLADDER, DOME_ANATOMICAL LOCATION	BLADDER,_DOME	LOC	C12332	SYNONYM
110	Dome of the Bladder	LOC_BLADDER, DOME_ANATOMICAL LOCATION	BLADDER,_DOME	LOC	C12332	PRIMARY
111	Fundus of the Bladder	LOC_BLADDER, FUNDUS_ANATOMICAL LOCATION	BLADDER,_FUNDUS	LOC	C48939	SYNONYM
112	Bladder Fundus	LOC_BLADDER, FUNDUS_ANATOMICAL LOCATION	BLADDER,_FUNDUS	LOC	C48939	PRIMARY
113	Neck of the Bladder	LOC_BLADDER, NECK_ANATOMICAL LOCATION	BLADDER,_NECK	LOC	C12336	SYNONYM
114	Bladder Neck	LOC_BLADDER, NECK_ANATOMICAL LOCATION	BLADDER,_NECK	LOC	C12336	PRIMARY
115	Trigone of the Bladder	LOC_BLADDER, TRIGONE_ANATOMICAL LOCATION	BLADDER,_TRIGONE	LOC	C12331	SYNONYM
116	Bladder Trigone	LOC_BLADDER, TRIGONE_ANATOMICAL LOCATION	BLADDER,_TRIGONE	LOC	C12331	PRIMARY
117	Peripheral Blood	LOC_BLOOD_ANATOMICAL LOCATION	BLOOD	LOC	C12434	SYNONYM
118	Whole Blood	LOC_BLOOD_ANATOMICAL LOCATION	BLOOD	LOC	C12434	SYNONYM
119	Blood	LOC_BLOOD_ANATOMICAL LOCATION	BLOOD	LOC	C12434	PRIMARY
120	Blood Vessel	LOC_BLOOD VESSEL_ANATOMICAL LOCATION	BLOOD_VESSEL	LOC	C12679	PRIMARY
121	Body	LOC_BODY_ANATOMICAL LOCATION	BODY	LOC	C13041	SYNONYM
122	Body	LOC_BODY_ANATOMICAL LOCATION	BODY	LOC	C13041	PRIMARY
123	Body of Stomach	LOC_BODY OF STOMACH_ANATOMICAL LOCATION	BODY_OF_STOMACH	LOC	C12258	SYNONYM
124	Body of Stomach	LOC_BODY OF STOMACH_ANATOMICAL LOCATION	BODY_OF_STOMACH	LOC	C12258	PRIMARY
125	Bone	LOC_BONE_ANATOMICAL LOCATION	BONE	LOC	C12366	PRIMARY
126	Bone Marrow	LOC_BONE MARROW_ANATOMICAL LOCATION	BONE_MARROW	LOC	C12431	PRIMARY
127	Brachial Artery	LOC_BRACHIAL ARTERY_ANATOMICAL LOCATION	BRACHIAL_ARTERY	LOC	C12681	PRIMARY
128	Brachial Lymph Node	LOC_BRACHIAL LYMPH NODE_ANATOMICAL LOCATION	BRACHIAL_LYMPH_NODE	LOC	C92221	PRIMARY
129	Brachial Plexus	LOC_BRACHIAL PLEXUS_ANATOMICAL LOCATION	BRACHIAL_PLEXUS	LOC	C12682	SYNONYM
130	Brachial Plexus	LOC_BRACHIAL PLEXUS_ANATOMICAL LOCATION	BRACHIAL_PLEXUS	LOC	C12682	PRIMARY
131	Brachial Vein	LOC_BRACHIAL VEIN_ANATOMICAL LOCATION	BRACHIAL_VEIN	LOC	C12883	PRIMARY
132	Brachialis	LOC_BRACHIALIS MUSCLE_ANATOMICAL LOCATION	BRACHIALIS_MUSCLE	LOC	C53149	PRIMARY
133	Innominate Artery	LOC_BRACHIOCEPHALIC ARTERY_ANATOMICAL LOCATION	BRACHIOCEPHALIC_ARTERY	LOC	C32814	SYNONYM
134	Innominate Artery	LOC_BRACHIOCEPHALIC ARTERY_ANATOMICAL LOCATION	BRACHIOCEPHALIC_ARTERY	LOC	C32814	PRIMARY
135	Brachioradialis Muscle	LOC_BRACHIORADIALIS MUSCLE_ANATOMICAL LOCATION	BRACHIORADIALIS_MUSCLE	LOC	C150849	PRIMARY
136	Nervous System, Brain	LOC_BRAIN_ANATOMICAL LOCATION	BRAIN	LOC	C12439	SYNONYM
137	Brain	LOC_BRAIN_ANATOMICAL LOCATION	BRAIN	LOC	C12439	PRIMARY
138	Brain Stem	LOC_BRAIN STEM_ANATOMICAL LOCATION	BRAIN_STEM	LOC	C12441	SYNONYM
139	Brain Stem	LOC_BRAIN STEM_ANATOMICAL LOCATION	BRAIN_STEM	LOC	C12441	PRIMARY
140	Brain Ventricle	LOC_BRAIN VENTRICLE_ANATOMICAL LOCATION	BRAIN_VENTRICLE	LOC	C12356	SYNONYM
141	Brain Ventricle	LOC_BRAIN VENTRICLE_ANATOMICAL LOCATION	BRAIN_VENTRICLE	LOC	C12356	PRIMARY
142	Lateral Ventricle	LOC_BRAIN VENTRICLE, LATERAL_ANATOMICAL LOCATION	BRAIN_VENTRICLE,_LATERAL	LOC	C12834	PRIMARY
143	Periventricular Region	LOC_BRAIN, PERIVENTRICULAR REGION_ANATOMICAL LOCATION	BRAIN,_PERIVENTRICULAR_REGION	LOC	C132390	PRIMARY
144	Third Ventricle	LOC_BRAIN, THIRD VENTRICLE_ANATOMICAL LOCATION	BRAIN,_THIRD_VENTRICLE	LOC	C12827	PRIMARY
145	Breast	LOC_BREAST_ANATOMICAL LOCATION	BREAST	LOC	C12971	SYNONYM
146	Breast	LOC_BREAST_ANATOMICAL LOCATION	BREAST	LOC	C12971	PRIMARY
147	Bronchi	LOC_BRONCHUS_ANATOMICAL LOCATION	BRONCHUS	LOC	C12683	SYNONYM
148	Bronchus	LOC_BRONCHUS_ANATOMICAL LOCATION	BRONCHUS	LOC	C12683	PRIMARY
149	Buccinator Lymph Node	LOC_BUCCAL LYMPH NODE_ANATOMICAL LOCATION	BUCCAL_LYMPH_NODE	LOC	C154770	SYNONYM
150	Buccal Lymph Node	LOC_BUCCAL LYMPH NODE_ANATOMICAL LOCATION	BUCCAL_LYMPH_NODE	LOC	C154770	PRIMARY
151	Buccal Mucosa	LOC_BUCCAL MUCOSA_ANATOMICAL LOCATION	BUCCAL_MUCOSA	LOC	C12505	PRIMARY
152	Bulbar Conjunctiva	LOC_BULBAR CONJUNCTIVA_ANATOMICAL LOCATION	BULBAR_CONJUNCTIVA	LOC	C12902	PRIMARY
153	Buttock	LOC_BUTTOCK_ANATOMICAL LOCATION	BUTTOCK	LOC	C89806	SYNONYM
154	Buttock	LOC_BUTTOCK_ANATOMICAL LOCATION	BUTTOCK	LOC	C89806	PRIMARY
155	C1 Vertebra	LOC_C1 VERTEBRA_ANATOMICAL LOCATION	C1_VERTEBRA	LOC	C32239	SYNONYM
156	C1 Vertebra	LOC_C1 VERTEBRA_ANATOMICAL LOCATION	C1_VERTEBRA	LOC	C32239	PRIMARY
157	C2 Vertebra	LOC_C2 VERTEBRA_ANATOMICAL LOCATION	C2_VERTEBRA	LOC	C32240	SYNONYM
158	C2 Vertebra	LOC_C2 VERTEBRA_ANATOMICAL LOCATION	C2_VERTEBRA	LOC	C32240	PRIMARY
159	C3 Vertebra	LOC_C3 VERTEBRA_ANATOMICAL LOCATION	C3_VERTEBRA	LOC	C32241	SYNONYM
160	C3 Vertebra	LOC_C3 VERTEBRA_ANATOMICAL LOCATION	C3_VERTEBRA	LOC	C32241	PRIMARY
161	C4 Vertebra	LOC_C4 VERTEBRA_ANATOMICAL LOCATION	C4_VERTEBRA	LOC	C32242	SYNONYM
162	C4 Vertebra	LOC_C4 VERTEBRA_ANATOMICAL LOCATION	C4_VERTEBRA	LOC	C32242	PRIMARY
163	C5 Vertebra	LOC_C5 VERTEBRA_ANATOMICAL LOCATION	C5_VERTEBRA	LOC	C32243	SYNONYM
164	C5 Vertebra	LOC_C5 VERTEBRA_ANATOMICAL LOCATION	C5_VERTEBRA	LOC	C32243	PRIMARY
165	C6 Vertebra	LOC_C6 VERTEBRA_ANATOMICAL LOCATION	C6_VERTEBRA	LOC	C32244	SYNONYM
166	C6 Vertebra	LOC_C6 VERTEBRA_ANATOMICAL LOCATION	C6_VERTEBRA	LOC	C32244	PRIMARY
167	C7 Vertebra	LOC_C7 VERTEBRA_ANATOMICAL LOCATION	C7_VERTEBRA	LOC	C32245	SYNONYM
168	C7 Vertebra	LOC_C7 VERTEBRA_ANATOMICAL LOCATION	C7_VERTEBRA	LOC	C32245	PRIMARY
169	Calcaneal Tuberosity	LOC_CALCANEAL TUBEROSITY_ANATOMICAL LOCATION	CALCANEAL_TUBEROSITY	LOC	C142295	PRIMARY
170	Calcaneum	LOC_CALCANEUS_ANATOMICAL LOCATION	CALCANEUS	LOC	C32250	SYNONYM
171	Calcaneus Bone	LOC_CALCANEUS_ANATOMICAL LOCATION	CALCANEUS	LOC	C32250	SYNONYM
172	Calcaneum	LOC_CALCANEUS_ANATOMICAL LOCATION	CALCANEUS	LOC	C32250	PRIMARY
173	Calcarine Sulcus	LOC_CALCARINE SULCUS_ANATOMICAL LOCATION	CALCARINE_SULCUS	LOC	C32252	PRIMARY
174	Calf	LOC_CALF_ANATOMICAL LOCATION	CALF	LOC	C93027	PRIMARY
175	Calf Muscular Vein	LOC_CALF MUSCULAR VEIN_ANATOMICAL LOCATION	CALF_MUSCULAR_VEIN	LOC	C154703	PRIMARY
176	Canine Tooth	LOC_CANINE TOOTH_ANATOMICAL LOCATION	CANINE_TOOTH	LOC	C32258	SYNONYM
177	Canine Tooth	LOC_CANINE TOOTH_ANATOMICAL LOCATION	CANINE_TOOTH	LOC	C32258	PRIMARY
178	Capitate Bone	LOC_CAPITATE BONE_ANATOMICAL LOCATION	CAPITATE_BONE	LOC	C12856	SYNONYM
179	Capitate Bone	LOC_CAPITATE BONE_ANATOMICAL LOCATION	CAPITATE_BONE	LOC	C12856	PRIMARY
180	Capitate-Hamate Joint	LOC_CAPITATE-HAMATE JOINT_ANATOMICAL LOCATION	CAPITATE-HAMATE_JOINT	LOC	C139188	PRIMARY
181	Capitate-Lunate Joint	LOC_CAPITATE-LUNATE JOINT_ANATOMICAL LOCATION	CAPITATE-LUNATE_JOINT	LOC	C139189	PRIMARY
182	Cardiac Valve	LOC_CARDIAC VALVE_ANATOMICAL LOCATION	CARDIAC_VALVE	LOC	C12729	PRIMARY
183	Cardiac Wall	LOC_CARDIAC WALL_ANATOMICAL LOCATION	CARDIAC_WALL	LOC	C139201	PRIMARY
184	Circulatory System	LOC_CARDIOVASCULAR SYSTEM_ANATOMICAL LOCATION	CARDIOVASCULAR_SYSTEM	LOC	C12686	SYNONYM
185	Cardiovascular System	LOC_CARDIOVASCULAR SYSTEM_ANATOMICAL LOCATION	CARDIOVASCULAR_SYSTEM	LOC	C12686	PRIMARY
186	Common Carotid Artery	LOC_CAROTID ARTERY_ANATOMICAL LOCATION	CAROTID_ARTERY	LOC	C12687	SYNONYM
187	Carotid Artery	LOC_CAROTID ARTERY_ANATOMICAL LOCATION	CAROTID_ARTERY	LOC	C12687	PRIMARY
188	Carpal Bone	LOC_CARPAL BONE_ANATOMICAL LOCATION	CARPAL_BONE	LOC	C12688	PRIMARY
189	Carpometacarpal Joint	LOC_CARPOMETACARPAL JOINT_ANATOMICAL LOCATION	CARPOMETACARPAL_JOINT	LOC	C32265	PRIMARY
190	CMC1	LOC_CARPOMETACARPAL JOINT 1_ANATOMICAL LOCATION	CARPOMETACARPAL_JOINT_1	LOC	C103912	SYNONYM
191	Carpometacarpal Joint 1	LOC_CARPOMETACARPAL JOINT 1_ANATOMICAL LOCATION	CARPOMETACARPAL_JOINT_1	LOC	C103912	PRIMARY
192	CMC2	LOC_CARPOMETACARPAL JOINT 2_ANATOMICAL LOCATION	CARPOMETACARPAL_JOINT_2	LOC	C103913	SYNONYM
193	Carpometacarpal Joint 2	LOC_CARPOMETACARPAL JOINT 2_ANATOMICAL LOCATION	CARPOMETACARPAL_JOINT_2	LOC	C103913	PRIMARY
194	CMC3	LOC_CARPOMETACARPAL JOINT 3_ANATOMICAL LOCATION	CARPOMETACARPAL_JOINT_3	LOC	C103914	SYNONYM
195	Carpometacarpal Joint 3	LOC_CARPOMETACARPAL JOINT 3_ANATOMICAL LOCATION	CARPOMETACARPAL_JOINT_3	LOC	C103914	PRIMARY
196	CMC4	LOC_CARPOMETACARPAL JOINT 4_ANATOMICAL LOCATION	CARPOMETACARPAL_JOINT_4	LOC	C103915	SYNONYM
197	Carpometacarpal Joint 4	LOC_CARPOMETACARPAL JOINT 4_ANATOMICAL LOCATION	CARPOMETACARPAL_JOINT_4	LOC	C103915	PRIMARY
198	CMC5	LOC_CARPOMETACARPAL JOINT 5_ANATOMICAL LOCATION	CARPOMETACARPAL_JOINT_5	LOC	C103916	SYNONYM
199	Carpometacarpal Joint 5	LOC_CARPOMETACARPAL JOINT 5_ANATOMICAL LOCATION	CARPOMETACARPAL_JOINT_5	LOC	C103916	PRIMARY
200	Caudate Nucleus	LOC_CAUDATE NUCLEUS_ANATOMICAL LOCATION	CAUDATE_NUCLEUS	LOC	C12451	PRIMARY
