INTERNAL_CODE	KEYWORD	LABEL	TERM_ID	KEYWORD_TYPE	SYNONYM_DAT	IS_A	IS_PART_OF
81	Adipose tissue/body fat	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
82	Adipose tissue	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
83	Body fat	ANATOMY	MA:0000009	SYNONYM	RELATED [VX]	MA:0000011	
84	cardiovascular system	ANATOMY	MA:0000010	NAME		MA:0000003	
85	circulatory system	ANATOMY	MA:0000010	SYNONYM	RELATED []	MA:0000003	
86	Cardiovascular system	ANATOMY	MA:0000010	SYNONYM	EXACT [VX]	MA:0000003	
87	Cardiovascular system	ANATOMY	MA:0000010	SYNONYM	EXACT [VX]	MA:0000003	
88	connective tissue	ANATOMY	MA:0000011	NAME			part_of MA:0002887
89	Paravertebral conn, tissue	ANATOMY	MA:0000011	SYNONYM	NARROW [VX]		part_of MA:0002887
90	Connective tissue (weigert)	ANATOMY	MA:0000011	SYNONYM	NARROW [VX]		part_of MA:0002887
91	Connective tissue	ANATOMY	MA:0000011	SYNONYM	EXACT [VX]		part_of MA:0002887
92	Interstitial	ANATOMY	MA:0000011	SYNONYM	RELATED [VX]		part_of MA:0002887
93	Connective tissue	ANATOMY	MA:0000011	SYNONYM	EXACT [VX]		part_of MA:0002887
94	Paravertebral conn, tissue	ANATOMY	MA:0000011	SYNONYM	NARROW [VX]		part_of MA:0002887
95	Interstitial	ANATOMY	MA:0000011	SYNONYM	RELATED [VX]		part_of MA:0002887
96	Connective tiss	ANATOMY	MA:0000011	SYNONYM	EXACT [VX]		part_of MA:0002887
97	CONNECTIVE TISSUE	ANATOMY	MA:0000011	SYNONYM	EXACT [SEND:C12374]		part_of MA:0002887
98	Connective tiss	ANATOMY	MA:0000011	SYNONYM	EXACT [VX]		part_of MA:0002887
99	endocrine system	ANATOMY	MA:0000012	NAME		MA:0000003	
100	Endocrine system	ANATOMY	MA:0000012	SYNONYM	EXACT [VX]	MA:0000003	
101	hemolymphoid system	ANATOMY	MA:0000013	NAME		MA:0000003	
102	haemolymphoid system	ANATOMY	MA:0000013	SYNONYM	RELATED []	MA:0000003	
103	Hemolymphoret. Sys.	ANATOMY	MA:0000013	SYNONYM	EXACT [VX]	MA:0000003	
104	Hemolym. Tissue	ANATOMY	MA:0000013	SYNONYM	RELATED [VX]	MA:0000003	
105	Hemolymphoret. sys.	ANATOMY	MA:0000013	SYNONYM	EXACT [VX]	MA:0000003	
106	Helolymphoret. sys.	ANATOMY	MA:0000013	SYNONYM	RELATED [VX]	MA:0000003	
107	Hemolym. tissue	ANATOMY	MA:0000013	SYNONYM	RELATED [VX]	MA:0000003	
108	integumental system	ANATOMY	MA:0000014	NAME		MA:0000003	
109	Integument	ANATOMY	MA:0000014	SYNONYM	EXACT [VX]	MA:0000003	
110	Integument	ANATOMY	MA:0000014	SYNONYM	EXACT [VX]	MA:0000003	
111	muscle organ	ANATOMY	MA:0000015	NAME			part_of MA:0002888
112	Skeletal muscle (left quadriceps femoris, soleus and diaphragm)	ANATOMY	MA:0000015	SYNONYM	NARROW [VX]		part_of MA:0002888
113	Skeletal muscle thigh	ANATOMY	MA:0000015	SYNONYM	NARROW [VX]		part_of MA:0002888
114	Muscle	ANATOMY	MA:0000015	SYNONYM	EXACT [VX]		part_of MA:0002888
115	Muscle	ANATOMY	MA:0000015	SYNONYM	EXACT [VX]		part_of MA:0002888
116	Skeletal muscle (left quadriceps femoris, soleus and diaphragm)	ANATOMY	MA:0000015	SYNONYM	NARROW [VX]		part_of MA:0002888
117	Femoral muscle	ANATOMY	MA:0000015	SYNONYM	NARROW [VX]		part_of MA:0002888
118	Skeletal muscle (m quadriceps,m soleus, m gastrocnemius)	ANATOMY	MA:0000015	SYNONYM	NARROW [VX]		part_of MA:0002888
119	Skeletal muscle-thigh	ANATOMY	MA:0000015	SYNONYM	NARROW [VX]		part_of MA:0002888
120	MUSCLE	ANATOMY	MA:0000015	SYNONYM	EXACT [VX]		part_of MA:0002888
121	Muscle .	ANATOMY	MA:0000015	SYNONYM	EXACT [VX]		part_of MA:0002888
122	Skeletal muscle thigh	ANATOMY	MA:0000015	SYNONYM	NARROW [VX]		part_of MA:0002888
123	Femoral muscle	ANATOMY	MA:0000015	SYNONYM	NARROW [VX]		part_of MA:0002888
124	Skeletal m:  longis	ANATOMY	MA:0000015	SYNONYM	NARROW [VX]		part_of MA:0002888
125	nervous system	ANATOMY	MA:0000016	NAME		MA:0000003	
126	sensory organ	ANATOMY	MA:0000017	NAME			part_of MA:0002442
127	skeletal system	ANATOMY	MA:0000018	NAME			part_of MA:0002418
128	visceral organ system	ANATOMY	MA:0000019	NAME		MA:0000003	
129	back of trunk	ANATOMY	MA:0000020	NAME			part_of MA:0000004
130	Rear, right	ANATOMY	MA:0000020	SYNONYM	NARROW [VX]		part_of MA:0000004
131	Rear,left	ANATOMY	MA:0000020	SYNONYM	NARROW [VX]		part_of MA:0000004
132	Rear, left	ANATOMY	MA:0000020	SYNONYM	NARROW [VX]		part_of MA:0000004
133	Rear,right	ANATOMY	MA:0000020	SYNONYM	NARROW [VX]		part_of MA:0000004
134	Rear, right	ANATOMY	MA:0000020	SYNONYM	NARROW [VX]		part_of MA:0000004
135	Rear,left	ANATOMY	MA:0000020	SYNONYM	NARROW [VX]		part_of MA:0000004
136	Rear, left	ANATOMY	MA:0000020	SYNONYM	NARROW [VX]		part_of MA:0000004
137	abdominal segment of trunk	ANATOMY	MA:0000021	NAME			part_of MA:0000004
138	Abdominal cavity and organs	ANATOMY	MA:0000021	SYNONYM	BROAD [VX]		part_of MA:0000004
139	lower body	ANATOMY	MA:0000021	SYNONYM	RELATED []		part_of MA:0000004
140	Abdominal cavity with respective organs	ANATOMY	MA:0000021	SYNONYM	BROAD [VX]		part_of MA:0000004
141	Abdominal cavity  with respective organs	ANATOMY	MA:0000021	SYNONYM	BROAD [VX]		part_of MA:0000004
142	abdomen/pelvis/perineum	ANATOMY	MA:0000021	SYNONYM	RELATED []		part_of MA:0000004
143	thoracic segment of trunk	ANATOMY	MA:0000022	NAME			part_of MA:0000004
144	thorax	ANATOMY	MA:0000022	SYNONYM	RELATED []		part_of MA:0000004
145	Thorax	ANATOMY	MA:0000022	SYNONYM	RELATED [VX]		part_of MA:0000004
146	upper body	ANATOMY	MA:0000022	SYNONYM	RELATED []		part_of MA:0000004
147	Thorax	ANATOMY	MA:0000022	SYNONYM	RELATED [VX]		part_of MA:0000004
148	head	ANATOMY	MA:0000023	NAME			part_of MA:0000006
149	Head with scull cap	ANATOMY	MA:0000023	SYNONYM	RELATED [VX]		part_of MA:0000006
150	Remainder of head	ANATOMY	MA:0000023	SYNONYM	NARROW [VX]		part_of MA:0000006
151	HEAD	ANATOMY	MA:0000023	SYNONYM	EXACT [SEND:C12419]		part_of MA:0000006
152	Head (including nasal cavity, paranasal sinuses and nasopharynx)	ANATOMY	MA:0000023	SYNONYM	RELATED [VX]		part_of MA:0000006
153	Head	ANATOMY	MA:0000023	SYNONYM	EXACT [VX]		part_of MA:0000006
154	Remainder of head	ANATOMY	MA:0000023	SYNONYM	NARROW [VX]		part_of MA:0000006
155	Head	ANATOMY	MA:0000023	SYNONYM	EXACT [VX]		part_of MA:0000006
156	Head (remainder)	ANATOMY	MA:0000023	SYNONYM	NARROW [VX]		part_of MA:0000006
157	Head (incl. nasal chambers and Zymbal's glands)	ANATOMY	MA:0000023	SYNONYM	RELATED [VX]		part_of MA:0000006
158	Head region	ANATOMY	MA:0000023	SYNONYM	RELATED [VX]		part_of MA:0000006
159	Head with scull cap	ANATOMY	MA:0000023	SYNONYM	RELATED [VX]		part_of MA:0000006
160	Head (not processed)	ANATOMY	MA:0000023	SYNONYM	RELATED [VX]		part_of MA:0000006
161	Head-nose-pharynx area	ANATOMY	MA:0000023	SYNONYM	RELATED [VX]		part_of MA:0000006
162	Head (for nasal cavity, eyes & optic nerves, Harderian glands, lacrimal glands & pituitary)	ANATOMY	MA:0000023	SYNONYM	RELATED [VX]		part_of MA:0000006
163	Head (incl. nasal cavity, paranasal sinuses, nasopharynx)	ANATOMY	MA:0000023	SYNONYM	RELATED [VX]		part_of MA:0000006
164	neck	ANATOMY	MA:0000024	NAME			part_of MA:0000006
165	Ventral cervical region	ANATOMY	MA:0000024	SYNONYM	NARROW [VX]		part_of MA:0000006
166	Neck	ANATOMY	MA:0000024	SYNONYM	EXACT [VX]		part_of MA:0000006
167	Neck	ANATOMY	MA:0000024	SYNONYM	EXACT [VX]		part_of MA:0000006
168	Neck and associated tissues	ANATOMY	MA:0000024	SYNONYM	BROAD [VX]		part_of MA:0000006
169	Head neck	ANATOMY	MA:0000024	SYNONYM	EXACT [VX]		part_of MA:0000006
170	Ventral cervical region	ANATOMY	MA:0000024	SYNONYM	NARROW [VX]		part_of MA:0000006
171	forelimb	ANATOMY	MA:0000025	NAME		MA:0000007	
172	Forelimb (right)	ANATOMY	MA:0000025	SYNONYM	NARROW [VX]	MA:0000007	
173	Forelegs	ANATOMY	MA:0000025	SYNONYM	RELATED [VX]	MA:0000007	
174	Forelimbs	ANATOMY	MA:0000025	SYNONYM	EXACT [VX]	MA:0000007	
175	Right forelimb	ANATOMY	MA:0000025	SYNONYM	NARROW [VX]	MA:0000007	
176	Forelimbs	ANATOMY	MA:0000025	SYNONYM	EXACT [VX]	MA:0000007	
177	Forelimb	ANATOMY	MA:0000025	SYNONYM	EXACT [VX]	MA:0000007	
178	Forelimb	ANATOMY	MA:0000025	SYNONYM	EXACT [VX]	MA:0000007	
179	Right forelimb	ANATOMY	MA:0000025	SYNONYM	NARROW [VX]	MA:0000007	
180	Forelimb (right)	ANATOMY	MA:0000025	SYNONYM	NARROW [VX]	MA:0000007	
181	FORELIMB	ANATOMY	MA:0000025	SYNONYM	EXACT [SEND:C12671]	MA:0000007	
182	hindlimb	ANATOMY	MA:0000026	NAME		MA:0000007	
183	Foot/leg	ANATOMY	MA:0000026	SYNONYM	NARROW [VX]	MA:0000007	
184	Right forelimb (sampled and fixed intact for cubital and carpal joints)	ANATOMY	MA:0000026	SYNONYM	NARROW [VX]	MA:0000007	
185	Limb hind	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
186	Hindlimb(s)	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
187	Hind legs	ANATOMY	MA:0000026	SYNONYM	RELATED [VX]	MA:0000007	
188	Foot/leg	ANATOMY	MA:0000026	SYNONYM	NARROW [VX]	MA:0000007	
189	Foot/Leg	ANATOMY	MA:0000026	SYNONYM	NARROW [VX]	MA:0000007	
190	Limb hind	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
191	Hindlimb	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
192	HINDLIMB	ANATOMY	MA:0000026	SYNONYM	EXACT [SEND:C77625]	MA:0000007	
193	Hindlimb(s)	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
194	Hindlimbs	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
195	Hind legs	ANATOMY	MA:0000026	SYNONYM	RELATED [VX]	MA:0000007	
196	Right hind limb	ANATOMY	MA:0000026	SYNONYM	NARROW [VX]	MA:0000007	
197	Hind limb, right	ANATOMY	MA:0000026	SYNONYM	RELATED [VX]	MA:0000007	
198	Hindlimbs	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
199	Right hind limb (sampled and fixed intact for femero-tibial and tarsal joints)	ANATOMY	MA:0000026	SYNONYM	NARROW [VX]	MA:0000007	
200	Paws - hind	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
201	Right hind limb (sampled and fixed intact for femero-tibial and tarsal joints)	ANATOMY	MA:0000026	SYNONYM	NARROW [VX]	MA:0000007	
202	Right forelimb (sampled and fixed intact for cubital and carpal joints)	ANATOMY	MA:0000026	SYNONYM	NARROW [VX]	MA:0000007	
203	Hind limb (right)	ANATOMY	MA:0000026	SYNONYM	RELATED [VX]	MA:0000007	
204	Right hind limb	ANATOMY	MA:0000026	SYNONYM	NARROW [VX]	MA:0000007	
205	Paws - hind	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
206	Hindlimb (s)	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
207	Hindlimb/s	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
208	Paw-hind	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
209	Hindlimb	ANATOMY	MA:0000026	SYNONYM	EXACT [VX]	MA:0000007	
210	Hindlegs	ANATOMY	MA:0000026	SYNONYM	RELATED [VX]	MA:0000007	
211	Foot/Leg	ANATOMY	MA:0000026	SYNONYM	NARROW [VX]	MA:0000007	
212	Hindlimbs (right)	ANATOMY	MA:0000026	SYNONYM	NARROW [VX]	MA:0000007	
213	lower back	ANATOMY	MA:0000027	NAME			part_of MA:0000021
214	upper back	ANATOMY	MA:0000028	NAME			part_of MA:0000022
215	abdomen	ANATOMY	MA:0000029	NAME			part_of MA:0000021
216	Abdomen	ANATOMY	MA:0000029	SYNONYM	EXACT [VX]		part_of MA:0000021
217	Abdomen	ANATOMY	MA:0000029	SYNONYM	EXACT [VX]		part_of MA:0000021
218	Ventral abdomen	ANATOMY	MA:0000029	SYNONYM	NARROW [VX]		part_of MA:0000021
219	pelvis	ANATOMY	MA:0000030	NAME			part_of MA:0000021
220	chest	ANATOMY	MA:0000031	NAME			part_of MA:0000022
221	Chest wall	ANATOMY	MA:0000031	SYNONYM	NARROW [VX]		part_of MA:0000022
222	thoracic body wall	ANATOMY	MA:0000031	SYNONYM	RELATED []		part_of MA:0000022
223	THORACIC WALL	ANATOMY	MA:0000031	SYNONYM	RELATED [SEND:C62484]		part_of MA:0000022
224	Chest	ANATOMY	MA:0000031	SYNONYM	EXACT [VX]		part_of MA:0000022
225	Chest wall	ANATOMY	MA:0000031	SYNONYM	NARROW [VX]		part_of MA:0000022
226	thoracic cavity	ANATOMY	MA:0000032	NAME			part_of MA:0000022
227	Cavity, thoracic	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
228	Cavity, thoracic	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
229	Thoracic cavities	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
230	Body cavity thoracic	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
231	Cavity-Thoracic	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
232	Whole body system; thoracic cavity	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
233	Whole body system; thoracic cavity	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
234	Thoracic cavity	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
235	Whole body system; thoracic cavity (tc)	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
236	Thoracic cavity (tc)	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
237	WHOLE BODY SYSTEM ; Thoracic cavity (tc)	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
238	Whole body system; thoracic cavity (tc)	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
239	Thoracic  cavity	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
240	Body cavity: thoracic	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
241	Thoracic cavity (2)	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
242	Cavity thoracic	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
243	Thoracic cavity (3)	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
244	thoracic cavity	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
245	Thoracic cavity (ct)	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
246	Thoracic cavities	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
247	Thoracic cavity (1)	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
248	Cavity-thoracic	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
249	BODY CAVITY, THORACIC	ANATOMY	MA:0000032	SYNONYM	EXACT [SEND:C12905]		part_of MA:0000022
250	Thoracic cavity	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
251	Cavity-thoracic	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
252	Thoracal cavity	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
253	Thoracic cavity (ct)	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
254	Thoracic  cavity	ANATOMY	MA:0000032	SYNONYM	EXACT [VX]		part_of MA:0000022
255	arm	ANATOMY	MA:0000033	NAME		MA:0002889	part_of MA:0000025
256	Forepaw	ANATOMY	MA:0000033	SYNONYM	RELATED [VX]	MA:0002889	part_of MA:0000025
257	Forepaw	ANATOMY	MA:0000033	SYNONYM	RELATED [VX]	MA:0002889	part_of MA:0000025
258	lower arm	ANATOMY	MA:0000034	NAME		MA:0002716	part_of MA:0000033
259	forearm	ANATOMY	MA:0000034	SYNONYM	RELATED []	MA:0002716	part_of MA:0000033
260	Lower arm	ANATOMY	MA:0000034	SYNONYM	EXACT [VX]	MA:0002716	part_of MA:0000033
261	upper arm	ANATOMY	MA:0000035	NAME		MA:0002717	part_of MA:0000033
262	Ventral axillary region	ANATOMY	MA:0000035	SYNONYM	NARROW [VX]	MA:0002717	part_of MA:0000033
263	Ventral axillary region	ANATOMY	MA:0000035	SYNONYM	NARROW [VX]	MA:0002717	part_of MA:0000033
264	Upper arm	ANATOMY	MA:0000035	SYNONYM	EXACT [VX]	MA:0002717	part_of MA:0000033
265	elbow	ANATOMY	MA:0000036	NAME			part_of MA:0000025
266	hand	ANATOMY	MA:0000037	NAME		MA:0002714	part_of MA:0000025
267	HAND	ANATOMY	MA:0000037	SYNONYM	EXACT [SEND:C32712]	MA:0002714	part_of MA:0000025
268	shoulder	ANATOMY	MA:0000038	NAME			part_of MA:0000025
269	Left Shoulder	ANATOMY	MA:0000038	SYNONYM	NARROW [VX]		part_of MA:0000025
270	Left shoulder	ANATOMY	MA:0000038	SYNONYM	NARROW [VX]		part_of MA:0000025
271	wrist	ANATOMY	MA:0000039	NAME			part_of MA:0000025
272	carpus	ANATOMY	MA:0000040	NAME			part_of MA:0000037
273	Carpal	ANATOMY	MA:0000040	SYNONYM	EXACT [VX]		part_of MA:0000037
274	Carpal	ANATOMY	MA:0000040	SYNONYM	EXACT [VX]		part_of MA:0000037
275	hand digit	ANATOMY	MA:0000041	NAME		MA:0000690	part_of MA:0000037
276	metacarpus	ANATOMY	MA:0000042	NAME			part_of MA:0000037
277	Bone, metacarpus	ANATOMY	MA:0000042	SYNONYM	EXACT [VX]		part_of MA:0000037
278	Bone,metacarpus	ANATOMY	MA:0000042	SYNONYM	EXACT [VX]		part_of MA:0000037
279	ankle	ANATOMY	MA:0000043	NAME			part_of MA:0000026
280	Ankle	ANATOMY	MA:0000043	SYNONYM	EXACT [VX]		part_of MA:0000026
281	Ankle	ANATOMY	MA:0000043	SYNONYM	EXACT [VX]		part_of MA:0000026
282	Left Ankle	ANATOMY	MA:0000043	SYNONYM	NARROW [VX]		part_of MA:0000026
283	foot	ANATOMY	MA:0000044	NAME		MA:0002714	part_of MA:0000026
284	FOOT	ANATOMY	MA:0000044	SYNONYM	EXACT [SEND:C32622]	MA:0002714	part_of MA:0000026
285	Foot/feet	ANATOMY	MA:0000044	SYNONYM	EXACT [VX]	MA:0002714	part_of MA:0000026
286	FOOT/FOOTPAD	ANATOMY	MA:0000044	SYNONYM	EXACT [SEND:C77671]	MA:0002714	part_of MA:0000026
287	Foot	ANATOMY	MA:0000044	SYNONYM	EXACT [VX]	MA:0002714	part_of MA:0000026
288	Hindpaw	ANATOMY	MA:0000044	SYNONYM	RELATED [VX]	MA:0002714	part_of MA:0000026
